"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Đơn vị tính"
"PMT-VDXHB","Móc treo đèn nhà xưởng highbay XHB","(PMT) Móc treo","Mua hàng","Cái"
"PMT-VDXTT","Móc treo đèn nhà xưởng thể thao XTT","(PMT) Móc treo","Mua hàng","Cái"
"PMT-VDX01","Móc treo đèn nhà xưởng UFO X01","(PMT) Móc treo","Mua hàng","Cái"
"PMT-VDX02","Móc treo đèn nhà xưởng UFO X02","(PMT) Móc treo","Mua hàng","Cái"
"PMT-VDX03","Móc treo đèn nhà xưởng UFO X03","(PMT) Móc treo","Mua hàng","Cái"
