"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã đặc tính","Tên đặc tính","Loại cột","Chiều cao cột","Bề mặt cột","Đường kính cột","Độ dày thân cột","Đế cột","Kích thước khung móng","Tăng cứng khung móng","Kích thước cần đèn liền"
"SLP-COT","Cột đèn đường","(SLP) Nhóm linh phụ kiện trụ/cột, cần đèn","Mua hàng","SLP-COT-BGMK-H7/S3-D140-400/10-M24/300-6G","Cột đèn đường Bát giác Mạ kẽm nhúng nóng, Cao 7m, D140mm, Dày 3mm, Đế 400/10mm 6 gân tăng cứng, M24/300x300mm","Bát giác","7m","Mạ kẽm nhúng nóng","D140mm","3mm","400/10mm","M24/300x300mm","6 gân tăng cứng",""
"SLP-COT","Cột đèn đường","(SLP) Nhóm linh phụ kiện trụ/cột, cần đèn","Mua hàng","SLP-COT-TCSD-H8/S4-D154/60-400/12-M24/300-6G","Cột đèn đường Tròn côn Sơn tĩnh điện, Cao 8m, D154/60mm, Dày 4mm, Đế 400/12mm 6 gân tăng cứng, M24/300x300mm","Tròn côn","8m","Sơn tĩnh điện","D154/60mm","4mm","400/12mm","M24/300x300mm","6 gân tăng cứng",""
"SLP-COT","Cột đèn đường","(SLP) Nhóm linh phụ kiện trụ/cột, cần đèn","Mua hàng","SLP-COT-BGMK-H9/S3.5-D168/56-400/10-W1.5-M24/300-6G","Cột đèn đường Bát giác Mạ kẽm nhúng nóng Liền cần đèn Vươn 1.5m, Cao 9m, D168/56mm, Dày 3.5mm, Đế 400/10mm 6 gân tăng cứng, M24/300x300mm","Bát giác","9m","Mạ kẽm nhúng nóng","D168/56mm","3.5mm","400/10mm","M24/300x300mm","6 gân tăng cứng","Vươn 1.5m"
"SLP-COT","Cột đèn đường","(SLP) Nhóm linh phụ kiện trụ/cột, cần đèn","Mua hàng","SLP-COT-TCSD-H8/S4-D154/60-400/12-W1.5-M24/300-6G","Cột đèn đường Tròn côn Sơn tĩnh điện Liền cần đèn Vươn 1.5m, Cao 8m, D154/60mm, Dày 4mm, Đế 400/12mm 6 gân tăng cứng, M24/300x300mm","Tròn côn","8m","Sơn tĩnh điện","D154/60mm","4mm","400/12mm","M24/300x300mm","6 gân tăng cứng","Vươn 1.5m"
"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã đặc tính","Tên đặc tính","Cấu trúc","Đường kính","Cao","Vươn","Độ dày","","","",""
"SLP-CDD","Cần đèn","(SLP) Nhóm linh phụ kiện trụ/cột, cần đèn","Mua hàng","SLP-CDD-D-H1.2-W1.5-D48/S3","Cần đèn - Cần đơn Cao 1.2m, Vươn 1.5m, D48, Dày 3mm","Cần đơn","D48","1.2m","1.5m","3mm","","","",""
"SLP-CDD","Cần đèn","(SLP) Nhóm linh phụ kiện trụ/cột, cần đèn","Mua hàng","SLP-CDD-D-H1.2-W1.5-D60/S3","Cần đèn - Cần đơn Cao 1.2m, Vươn 1.5m, D60, Dày 3mm","Cần đơn","D60","1.2m","1.5m","3mm","","","",""
"SLP-CDD","Cần đèn","(SLP) Nhóm linh phụ kiện trụ/cột, cần đèn","Mua hàng","SLP-CDD-S-H0.3-W0.5-D48/1","Cần đèn - Bộ NLMT Cao 0.3m, Vươn 0.5m, D48, Dày 1mm","Bộ NLMT","D48","0.3m","0.5m","1mm","","","",""
