"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Phương pháp bổ sung","Kích thước"
"XOP-GOC","Xốp chèn góc hộp","(XOP) Mút, xốp","XOP-GOC-110x110x120mm","Xốp chèn góc hộp 110x110x120mm","Mua hàng","110x110x120mm"
"XOP-DDG","Xốp chèn đầu đèn đường","(XOP) Mút, xốp","XOP-DDG-380x160x60mm","Xốp chèn đầu đèn đường 380x160x60mm","Mua hàng","380x160x60mm"
"XOP-DDG","Xốp chèn đầu đèn đường","(XOP) Mút, xốp","XOP-DDG-380x110x60mm","Xốp chèn đầu đèn đường 380x110x60mm","Mua hàng","380x110x60mm"
"XOP-DDG","Xốp chèn đầu đèn đường","(XOP) Mút, xốp","XOP-DDG-300x160x60mm","Xốp chèn đầu đèn đường 300x160x60mm","Mua hàng","300x160x60mm"
"XOP-DDG","Xốp chèn đầu đèn đường","(XOP) Mút, xốp","XOP-DDG-300x110x60mm","Xốp chèn đầu đèn đường 300x110x60mm","Mua hàng","300x110x60mm"
