"Mã sản phẩm","Phương pháp bổ sung","Item Group","Tên sản phẩm","Mã biến thể","Tên biến thể","Công suất","Màu ánh sáng","Chip LED","Nguồn","Kiểu nguồn","Phân loại vỏ"
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4B3DN","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, Done Nhỏ","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","Done Nhỏ","Nguồn nhỏ",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3B3DN","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, Done Nhỏ","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","Done Nhỏ","Nguồn nhỏ",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6B3DT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, Done Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","Done Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5B3DT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Bridgelux 3030, Done Dim 1 Cấp","50","Trắng (5.000K)","Bridgelux 3030","Done Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4B3DT","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, Done Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","Done Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3B3DT","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, Done Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","Done Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6B3PT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, Philips Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","Philips Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5B3PT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Bridgelux 3030, Philips Dim 1 Cấp","50","Trắng (5.000K)","Bridgelux 3030","Philips Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4B3PT","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, Philips Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","Philips Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3B3PT","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, Philips Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","Philips Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6B3PD","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, Philips Dim 10 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","Philips Dim 10 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5B3PD","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Bridgelux 3030, Philips Dim 10 Cấp","50","Trắng (5.000K)","Bridgelux 3030","Philips Dim 10 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4B3PD","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, Philips Dim 10 Cấp","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","Philips Dim 10 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3B3PD","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, Philips Dim 10 Cấp","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","Philips Dim 10 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6B3MT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, Meanwell Dim 1 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","Meanwell Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5B3MT","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Bridgelux 3030, Meanwell Dim 1 Cấp","50","Trắng (5.000K)","Bridgelux 3030","Meanwell Dim 1 Cấp","Nguồn to",""
